,metrics_name,phik,pearson
0,mistral_cos_sim+mistral1_cls,0.03447408150939971,0.04402879375749155
1,mistral_cos_sim+mistral2_cls,0.0,0.02188947771190527
2,mistral_cos_sim+mistral3_cls,0.06214825080632553,0.05379090671979362
3,mistral_cos_sim+llama2_cls,0.2594272994662165,0.24652644024411935
4,mistral_cos_sim+llama3_cls,0.04479665036891117,0.004740872580877345
5,mistral_cos_sim+mistral_lora_cls,0.4700164516581429,0.4528917689587783
6,llama_1_cos_sim+mistral1_cls,0.0,0.04573199675309395
7,llama_1_cos_sim+mistral2_cls,0.03934276062253054,0.024807917923889967
8,llama_1_cos_sim+mistral3_cls,0.01752522718214671,0.05540077346250877
9,llama_1_cos_sim+llama2_cls,0.25182185238797944,0.2511038424758827
10,llama_1_cos_sim+llama3_cls,0.0,0.011892594463453445
11,llama_1_cos_sim+mistral_lora_cls,0.6081003924715472,0.4616749817841827
12,llama_2_cos_sim+mistral1_cls,0.03816368982891908,0.052494897557079916
13,llama_2_cos_sim+mistral2_cls,0.046786327286017594,0.03686208794387607
14,llama_2_cos_sim+mistral3_cls,0.05867514246369673,0.06242322399444699
15,llama_2_cos_sim+llama2_cls,0.3444619733401048,0.26074149460080887
16,llama_2_cos_sim+llama3_cls,0.0,0.04428127069354527
17,llama_2_cos_sim+mistral_lora_cls,0.47166700655345556,0.4655555603009035
