,task,true,model,model_extracted,true_num,classification_metric
0,able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,rather_bad, Answer: 1.</s>,-1,-1,0.3333333333333333
1,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,rather_bad, Answer: 1.</s>,-1,-1,0.3333333333333333
2,able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter,rather_bad, Answer: 1.</s>,-1,-1,0.3333333333333333
3,able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter,bad, Answer: 1.</s>,-1,-2,0.3333333333333333
4,absolute church truth doug scripture symbol libxmu font bible free undefined type motif error application,rather_good, Answer: 1.</s>,-1,1,0.3333333333333333
5,absolute church truth mission nasa doug mars earth free application error type font email symbol,rather_bad, Answer: 1.</s>,-1,-1,0.3333333333333333
6,absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,good," Answer: 3.  These words have a strong connection to the topic of space exploration and scientific research, specifically related to NASA, Mars, Earth, and the launch of spacecraft such as the lunar shuttle and telescope. The words ""church"" and ""symbol"" may be considered outliers, but they do not significantly detract from the overall topic and could potentially be related to scientific or symbolic aspects of space exploration.</s>",2,2,1.0
7,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,rather_bad," Answer: 2.  Some words like ""absolutely,"" ""terrible,"" ""disappointed,"" and ""experience"" suggest customer service or feedback, while others like ""fast,"" ""white rice,"" ""noodle,"" and ""grain process"" suggest food or dining. The mixture of these topics makes it difficult to determine a clear topic for the presented word set.</s>",1,-1,0.6666666666666666
8,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,good, Answer: 1.</s>,-1,2,0.3333333333333333
9,absolutely grain experience soon there's process anyway true terrible satisfied knew average replace sort wild,bad, Answer: 1.</s>,-1,-2,0.3333333333333333
10,absolutely grain experience soon there's process true anyway knew terrible sort satisfied average replace wild,bad, Answer: 1.</s>,-1,-2,0.3333333333333333
11,absolutely grain experience there's soon process anyway terrible satisfied average true replace sort wild knew,bad, Answer: 1.</s>,-1,-2,0.3333333333333333
12,absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,rather_bad, Answer: 1.</s>,-1,-1,0.3333333333333333
13,absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness,bad, Answer: 1.</s>,-1,-2,0.3333333333333333
14,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,bad, Answer: 1.</s>,-1,-2,0.3333333333333333
15,absolutely grain there's process terrible satisfied experience replace sticky wild disgust lol freshness anyway gag,bad, Answer: 1.</s>,-1,-2,0.3333333333333333
16,absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag,bad, Answer: 1.</s>,-1,-2,0.3333333333333333
17,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,bad, Answer: 1.</s>,-1,-2,0.3333333333333333
18,absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,good, Answer: 1.</s>,-1,2,0.3333333333333333
19,absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,good, Answer: 1.</s>,-1,2,0.3333333333333333
