,text,topic,text_split,cos_sim
0,population bullet arab israeli border village muslim thousand slaughter policy daughter wife authorities switzerland religious,['religion'],"['population', 'bullet', 'arab', 'israeli', 'border', 'village', 'muslim', 'thousand', 'slaughter', 'policy', 'daughter', 'wife', 'authority', 'switzerland', 'religious']",0.5516320546468099
1,quote hell context death accept evil agree feel live learn dead stup brian maybe argument,['death'],"['quote', 'hell', 'context', 'death', 'accept', 'evil', 'agree', 'feel', 'live', 'learn', 'dead', 'stup', 'brian', 'maybe', 'argument']",0.5916594743728638
2,enjoy strong morning brew blend bitter smooth packet machine starbucks perfect aftertaste prefer iced cold,['coffee'],"['enjoy', 'strong', 'morning', 'brew', 'blend', 'bitter', 'smooth', 'packet', 'machine', 'starbucks', 'perfect', 'aftertaste', 'prefer', 'iced', 'cold']",0.5783006131649018
3,worth packet waste splenda world horrible whenever direction follow sweeter every sucralose life town lemonade,['sweetener'],"['worth', 'packet', 'waste', 'splenda', 'world', 'horrible', 'whenever', 'direction', 'follow', 'sweeter', 'every', 'sucralose', 'life', 'town', 'lemonade']",0.5542889475822449
4,pres administration official congress secretary russian press russia working house continue package summer senator talk,['politics'],"['pres', 'administration', 'official', 'congress', 'secretary', 'russian', 'press', 'russia', 'work', 'house', 'continue', 'package', 'summer', 'senator', 'talk']",0.49216507573922474
5,bible religion turkish church belief truth faith argument christ word greek muslim atheist moral human,['religion'],"['bible', 'religion', 'turkish', 'church', 'belief', 'truth', 'faith', 'argument', 'christ', 'word', 'greek', 'muslim', 'atheist', 'moral', 'human']",0.6185818493366242
6,quote context umich taking feel learn maybe agree aspect brian stephen engin kind making response,['education'],"['quote', 'context', 'umich', 'take', 'feel', 'learn', 'maybe', 'agree', 'aspect', 'brian', 'stephen', 'engin', 'kind', 'make', 'response']",0.6392542282740276
7,israel israeli arab palestinian attack murder peace civilian human land trial kill court innocent lebanese,"['conflict', 'violence']","['israel', 'israeli', 'arab', 'palestinian', 'attack', 'murder', 'peace', 'civilian', 'human', 'land', 'trial', 'kill', 'court', 'innocent', 'lebanese']",0.5159920612970988
8,butter peanut apple orange aware jelly poor grape choke formula risk belly possibly watch and<br,['food'],"['butter', 'peanut', 'apple', 'orange', 'aware', 'jelly', 'poor', 'grape', 'choke', 'formula', 'risk', 'belly', 'possibly', 'watch', 'andbr']",0.5087086478869121
9,work package receive surprised sample recipe future description party careful damage pleasantly n't sure think,['party'],"['work', 'package', 'receive', 'surprised', 'sample', 'recipe', 'future', 'description', 'party', 'careful', 'damage', 'pleasantly', 'nt', 'sure', 'think']",0.514353354771932
10,signal switch helmet audio input level radio local receiver relay noise output circuit build paint,['electronics'],"['signal', 'switch', 'helmet', 'audio', 'input', 'level', 'radio', 'local', 'receiver', 'relay', 'noise', 'output', 'circuit', 'build', 'paint']",0.6500175674756368
11,nasa launch mission surface shuttle satellite probe maybe orbiter radar field three propulsion ozone atmosphere,['space'],"['nasa', 'launch', 'mission', 'surface', 'shuttle', 'satellite', 'probe', 'maybe', 'orbiter', 'radar', 'field', 'three', 'propulsion', 'ozone', 'atmosphere']",0.6589650491873423
12,snack healthy tasty excellent fiber lunch healthier satisfy enjoy something dip yum crave grain without,['snack'],"['snack', 'healthy', 'tasty', 'excellent', 'fiber', 'lunch', 'healthier', 'satisfy', 'enjoy', 'something', 'dip', 'yum', 'crave', 'grain', 'without']",0.6229233026504517
13,window image display server graphics user code application screen color motif function format package directory,['computer'],"['window', 'image', 'display', 'server', 'graphic', 'user', 'code', 'application', 'screen', 'color', 'motif', 'function', 'format', 'package', 'directory']",0.6081445693969727
14,nasa science research center earth anonymous orbit launch satellite mission news image contact moon reference,['space'],"['nasa', 'science', 'research', 'center', 'earth', 'anonymous', 'orbit', 'launch', 'satellite', 'mission', 'news', 'image', 'contact', 'moon', 'reference']",0.6352053185304006
15,image graphics format package user object code send processing site database application convert library interface,['software'],"['image', 'graphic', 'format', 'package', 'user', 'object', 'code', 'send', 'processing', 'site', 'database', 'application', 'convert', 'library', 'interface']",0.7266530950864156
16,snack chip healthy tasty family they're cheese potato apple alternative salty lunch satisfy enjoy crave,['snack'],"['snack', 'chip', 'healthy', 'tasty', 'family', 'theyre', 'cheese', 'potato', 'apple', 'alternative', 'salty', 'lunch', 'satisfy', 'enjoy', 'crave']",0.632754385471344
17,bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape,"['crime', 'violence']","['bike', 'firearm', 'knife', 'criminal', 'carry', 'death', 'weapon', 'scsi', 'murder', 'smith', 'handgun', 'moral', 'child', 'defense', 'tape']",0.5123561143875122
18,vanilla keurig k-cups french light k-cup aroma medium chai matcha hint blend starbucks brewer creamer,['coffee'],"['vanilla', 'keurig', 'kcups', 'french', 'light', 'kcup', 'aroma', 'medium', 'chai', 'matcha', 'hint', 'blend', 'starbucks', 'brewer', 'creamer']",0.6085320333639781
