,metrics_name,phik,pearson
0,mistral_cos_sim+mistral1_cls,0.4728784744208758,0.41991074711611015
1,mistral_cos_sim+mistral2_cls,0.4135964894473679,0.3528776574574888
2,mistral_cos_sim+llama2_cls,0.19099885452670726,0.06586604831270006
3,mistral_cos_sim+llama3_cls,0.1931007338568482,0.039646828864277235
4,mistral_cos_sim+mistral_lora_cls,0.46721303990213536,0.5625476253453088
5,llama_1_cos_sim+mistral1_cls,0.5125038649943081,0.4557706486038493
6,llama_1_cos_sim+mistral2_cls,0.49223408028271054,0.39469999261901056
7,llama_1_cos_sim+llama2_cls,0.19882946100828378,0.08043429140783911
8,llama_1_cos_sim+llama3_cls,0.17247190631547693,0.06379217565978168
9,llama_1_cos_sim+mistral_lora_cls,0.6009770869997454,0.5678045489583715
10,llama_2_cos_sim+mistral1_cls,0.5170356317290618,0.4598921728755444
11,llama_2_cos_sim+mistral2_cls,0.47919526996076667,0.3940829593269644
12,llama_2_cos_sim+llama2_cls,0.19217266551899964,0.08469675711567874
13,llama_2_cos_sim+llama3_cls,0.1907807628442916,0.06947802164420867
14,llama_2_cos_sim+mistral_lora_cls,0.599963090873809,0.5726062292147109
