,text,topic,text_split,cos_sim
0,earth orbit nasa mission moon satellite lunar shuttle launch spacecraft probe flight mars solar project,['space exploration'],"['earth', 'orbit', 'nasa', 'mission', 'moon', 'satellite', 'lunar', 'shuttle', 'launch', 'spacecraft', 'probe', 'flight', 'mar', 'solar', 'project']",0.579997863372167
1,dog treat training liver greenies ball pup dog's puppy owner beneful beagle bully reward lick,['training'],"['dog', 'treat', 'training', 'liver', 'greenies', 'ball', 'pup', 'dog', 'puppy', 'owner', 'beneful', 'beagle', 'bully', 'reward', 'lick']",0.603743584950765
2,morning breakfast light packet indiv mild convenient pour wrap easily stevia liqu way ual usually,['convenience'],"['morning', 'breakfast', 'light', 'packet', 'indiv', 'mild', 'convenient', 'pour', 'wrap', 'easily', 'stevia', 'liqu', 'way', 'ual', 'usually']",0.6625645081202189
3,snack chip healthy tasty family cheese they're apple potato alternative salty enjoy lunch satisfy crave,['snack'],"['snack', 'chip', 'healthy', 'tasty', 'family', 'cheese', 'theyre', 'apple', 'potato', 'alternative', 'salty', 'enjoy', 'lunch', 'satisfy', 'crave']",0.6327543973922729
4,hell alaska eternal liar motto main acad crazy watch able create camera nsmca death lunatic,['crazy'],"['hell', 'alaska', 'eternal', 'liar', 'motto', 'main', 'acad', 'crazy', 'watch', 'able', 'create', 'camera', 'nsmca', 'death', 'lunatic']",0.6420807937781016
5,syrup sometimes artificial high sweetener chemical sweeten splenda stevia maple corn agave extract fructose diabetic,['sweetener'],"['syrup', 'sometimes', 'artificial', 'high', 'sweetener', 'chemical', 'sweeten', 'splenda', 'stevia', 'maple', 'corn', 'agave', 'extract', 'fructose', 'diabetic']",0.6125316341718038
6,chip star potato corn reason yellow kettle vinegar blue rating addictive garden tortilla trap think,['addictive'],"['chip', 'star', 'potato', 'corn', 'reason', 'yellow', 'kettle', 'vinegar', 'blue', 'rating', 'addictive', 'garden', 'tortilla', 'trap', 'think']",0.5468759536743164
7,error appreciate info motherboard graphics internet anybody nrhj access mode test type seizure upgrade advance,['computer'],"['error', 'appreciate', 'info', 'motherboard', 'graphic', 'internet', 'anybody', 'nrhj', 'access', 'mode', 'test', 'type', 'seizure', 'upgrade', 'advance']",0.5755659778912862
8,food disease medical doctor patient health treatment cancer blood cand medicine study treat symptom infection,['health'],"['food', 'disease', 'medical', 'doctor', 'patient', 'health', 'treatment', 'cancer', 'blood', 'cand', 'medicine', 'study', 'treat', 'symptom', 'infection']",0.626068252325058
9,tasty fiber satisfy lunch healthier crunch dip yum typical hungry late bill wholesome guilt disappear,['healthy'],"['tasty', 'fiber', 'satisfy', 'lunch', 'healthier', 'crunch', 'dip', 'yum', 'typical', 'hungry', 'late', 'bill', 'wholesome', 'guilt', 'disappear']",0.5540934006373087
10,player hockey season league goal leaf playoff next flyer penalty draft division puck final shot,['playoff'],"['player', 'hockey', 'season', 'league', 'goal', 'leaf', 'playoff', 'next', 'flyer', 'penalty', 'draft', 'division', 'puck', 'final', 'shot']",0.6556109229723612
11,anonymous news service usenet privacy network electronic internet email site public user server congress archive,['usenet'],"['anonymous', 'news', 'service', 'usenet', 'privacy', 'network', 'electronic', 'internet', 'email', 'site', 'public', 'user', 'server', 'congress', 'archive']",0.6823802709579467
12,bible religion turkish church belief truth argument faith christ atheist muslim greek ence human word,['religion'],"['bible', 'religion', 'turkish', 'church', 'belief', 'truth', 'argument', 'faith', 'christ', 'atheist', 'muslim', 'greek', 'ence', 'human', 'word']",0.6143481433391571
13,cooky cookie mouth bite raspberry thin brownie fudge xylitol crumb oreo creme gooey pan soft,['dessert'],"['cooky', 'cookie', 'mouth', 'bite', 'raspberry', 'thin', 'brownie', 'fudge', 'xylitol', 'crumb', 'oreo', 'creme', 'gooey', 'pan', 'soft']",0.559425151348114
14,cooky cookie raspberry thin agree brownie oreo fudge think gooey crumbly soft texture package enough,['dessert'],"['cooky', 'cookie', 'raspberry', 'thin', 'agree', 'brownie', 'oreo', 'fudge', 'think', 'gooey', 'crumbly', 'soft', 'texture', 'package', 'enough']",0.5564763804276784
15,country action land force iran citizen house bosnia weapon majority federal constitution civil nation adam,['nation'],"['country', 'action', 'land', 'force', 'iran', 'citizen', 'house', 'bosnia', 'weapon', 'majority', 'federal', 'constitution', 'civil', 'nation', 'adam']",0.7294719099998475
16,purchase happy ship impressed website chance wonder offer directly mother elsewhere enjoys promptly refund however,['purchase'],"['purchase', 'happy', 'ship', 'impressed', 'website', 'chance', 'wonder', 'offer', 'directly', 'mother', 'elsewhere', 'enjoys', 'promptly', 'refund', 'however']",0.7017784555753072
17,vanilla keurig k-cups french light k-cup aroma medium chai matcha hint blend starbucks brewer creamer,['coffee'],"['vanilla', 'keurig', 'kcups', 'french', 'light', 'kcup', 'aroma', 'medium', 'chai', 'matcha', 'hint', 'blend', 'starbucks', 'brewer', 'creamer']",0.6085320333639781
18,bible church christ truth faith lord catholic scripture father belief christianity heaven hell holy interpretation,['religion'],"['bible', 'church', 'christ', 'truth', 'faith', 'lord', 'catholic', 'scripture', 'father', 'belief', 'christianity', 'heaven', 'hell', 'holy', 'interpretation']",0.6211498121420542
19,enjoy right candy amount quick cold plain hint refresh warm sweetness beverage summer mango quantity,['summer'],"['enjoy', 'right', 'candy', 'amount', 'quick', 'cold', 'plain', 'hint', 'refresh', 'warm', 'sweetness', 'beverage', 'summer', 'mango', 'quantity']",0.49042033751805625
20,ingredient organic natural real corn syrup list label grain expensive pet artificial ginger feed wheat,['natural'],"['ingredient', 'organic', 'natural', 'real', 'corn', 'syrup', 'list', 'label', 'grain', 'expensive', 'pet', 'artificial', 'ginger', 'feed', 'wheat']",0.609807034333547
21,encryption chip clipper security escrow secure agency technology encrypt privacy enforcement algorithm protect secret crypto,['security'],"['encryption', 'chip', 'clipper', 'security', 'escrow', 'secure', 'agency', 'technology', 'encrypt', 'privacy', 'enforcement', 'algorithm', 'protect', 'secret', 'crypto']",0.7165190815925598
22,vanilla several deal brew smooth machine french house starbucks maker pot shop espresso sample drinker,['coffee'],"['vanilla', 'several', 'deal', 'brew', 'smooth', 'machine', 'french', 'house', 'starbucks', 'maker', 'pot', 'shop', 'espresso', 'sample', 'drinker']",0.589512699842453
