,metrics_name,phik,pearson
0,mistral_cos_sim+mistral1_cls,0.3947260384764898,0.34113568418921064
1,mistral_cos_sim+mistral2_cls,0.3872565013678299,0.31898932714176775
2,mistral_cos_sim+llama2_cls,0.12345744482829185,0.08520565163754934
3,mistral_cos_sim+llama3_cls,0.05314362288570283,0.001477034674528105
4,mistral_cos_sim+mistral_lora_cls,0.3886372946466493,0.44422004833210466
5,llama_1_cos_sim+mistral1_cls,0.436406307452758,0.37080650800617326
6,llama_1_cos_sim+mistral2_cls,0.43555085707429503,0.36686526547416726
7,llama_1_cos_sim+llama2_cls,0.11323005728385066,0.11109599645032613
8,llama_1_cos_sim+llama3_cls,0.07994307747998808,0.024585663153738436
9,llama_1_cos_sim+mistral_lora_cls,0.5087436139912865,0.45753240919693683
10,llama_2_cos_sim+mistral1_cls,0.4403652821992951,0.37815988389351635
11,llama_2_cos_sim+mistral2_cls,0.42357443939318157,0.3681249145794018
12,llama_2_cos_sim+llama2_cls,0.1696020755968487,0.12447926173376737
13,llama_2_cos_sim+llama3_cls,0.0803989406619648,0.05354471881990522
14,llama_2_cos_sim+mistral_lora_cls,0.3910072250327256,0.46089248463983545
